OP,A1,A2,A3
+,25,996,944
+,23,80,565
+,19,849,643
+,11,906,882
+,4,591,196
+,45,71,46
+,26,233,791
+,9,81,875
+,29,887,103
+,16,284,464
+,31,854,373
+,21,379,363
+,12,686,273
+,3,959,699
+,39,73,623
+,38,175,546
+,10,250,167
+,24,388,276
+,35,655,704
+,0,224,701
+,43,863,786
+,18,57,234
+,33,32,824
+,48,410,274
+,41,216,935
+,30,580,897
+,28,322,217
+,20,511,405
+,22,936,658
+,42,146,271
+,46,252,762
+,36,551,269
+,32,598,438
+,44,597,408
+,13,224,141
?,64,64,64
?,12,12,12
?,7,7,7
?,15,15,15
?,20,20,20
?,21,21,21
?,55,55,55
?,9,9,9
?,50,50,50
?,49,49,49
?,60,60,60
?,68,68,68
?,33,33,33
?,2,2,2
?,15,15,15
?,69,69,69
?,35,35,35
-,3,3,3
-,31,31,31
-,24,24,24
-,46,46,46
-,22,22,22
-,26,26,26
+,49,580,969
+,47,87,749
+,2,835,70
+,27,545,784
?,17,17,17
-,49,49,49
-,13,13,13
-,4,4,4
-,35,35,35
+,37,927,32
+,5,338,72
+,34,243,285
+,6,497,219
?,61,61,61
+,8,484,826
+,14,194,96
?,56,56,56
+,15,420,478
+,17,746,55
+,1,669,661
+,7,412,745
+,40,882,111
