OP,A1,A2,A3
+,25,996,944
+,23,80,565
+,19,849,643
+,11,906,882
+,4,591,196
+,45,71,46
+,26,233,791
+,9,81,875
+,29,887,103
+,16,284,464
+,31,854,373
+,21,379,363
+,12,686,273
+,3,959,699
+,39,73,623
+,38,175,546
+,10,250,167
+,24,388,276
+,35,655,704
+,0,224,701
+,43,863,786
+,18,57,234
+,33,32,824
+,48,410,274
+,41,216,935
+,30,580,897
+,28,322,217
+,20,511,405
+,22,936,658
+,42,146,271
+,46,252,762
+,36,551,269
+,32,598,438
+,44,597,408
+,13,224,141
?,64,64,64
?,12,12,12
?,7,7,7
?,15,15,15
?,20,20,20
?,21,21,21
?,55,55,55
?,9,9,9
?,50,50,50
-,13,13,13
-,48,48,48
-,28,28,28
-,45,45,45
-,12,12,12
-,29,29,29
-,32,32,32
-,39,39,39
-,20,20,20
-,10,10,10
-,3,3,3
-,38,38,38
-,4,4,4
+,49,114,951
+,47,899,851
+,2,314,245
+,27,246,899
+,37,969,80
+,5,749,497
+,34,70,778
+,6,784,128
?,43,43,43
-,22,22,22
-,18,18,18
-,5,5,5
-,36,36,36
-,35,35,35
-,33,33,33
-,9,9,9
-,43,43,43
-,46,46,46
-,0,0,0
-,47,47,47
-,27,27,27
-,42,42,42
-,6,6,6
-,2,2,2
-,37,37,37
+,8,927,32
+,14,338,72
-,19,19,19
+,15,433,420
+,17,884,746
+,1,689,669
+,7,100,62
+,40,347,819
